mse,learning_rate_init,minibatch_size,r2
0.012088817374301277,0.1,4.0,0.8741393061214969
0.017096444417891644,0.1,10.0,0.8220032373170438
0.018149187610289014,0.1,21.0,0.8110427781944937
0.022436334288245867,0.1,46.0,0.7664078698374835
0.025094474217210783,0.1,100.0,0.7387330919392844
0.024693548172272883,0.1,215.0,0.742907266190367
0.03004589173370545,0.1,464.0,0.6871822391955756
0.02955447448762666,0.1,1000.0,0.6922985474050802
0.010626388686823548,0.1467799267622069,1.0,0.889365137040662
0.021118269797737364,0.1467799267622069,2.0,0.7801306771407582
0.01827722542948908,0.1467799267622069,4.0,0.8097097339215718
0.021070128012347374,0.1467799267622069,10.0,0.7806318972623075
0.016441289445373986,0.1467799267622069,21.0,0.8288242733940976
0.0194173685907446,0.1467799267622069,46.0,0.7978393246868766
0.021007558435400715,0.1467799267622069,100.0,0.7812833299150111
0.028833285881579036,0.1467799267622069,215.0,0.6998070815787691
0.04390108517211845,0.1467799267622069,464.0,0.5429312172811732
0.029077518180227746,0.1467799267622069,1000.0,0.6972642979777185
0.014144850141169294,0.21544346900318823,1.0,0.852733265922308
0.02570244672662495,0.21544346900318823,2.0,0.7324032881607452
0.013822079279253163,0.21544346900318823,4.0,0.8560937405979274
0.023692606046547805,0.21544346900318823,10.0,0.7533284071982369
0.0241858412596746,0.21544346900318823,21.0,0.7481931715298233
0.014129805443651245,0.21544346900318823,46.0,0.8528899012663773
0.01874943837479571,0.21544346900318823,100.0,0.8047933680675348
0.06656656386005486,0.21544346900318823,215.0,0.306953388646221
0.030180724965994797,0.21544346900318823,464.0,0.6857784456193823
0.028448987611708478,0.21544346900318823,1000.0,0.7038081385394804
0.03096881938332956,0.31622776601683794,1.0,0.6775733328166702
0.021775871043302523,0.31622776601683794,2.0,0.7732841721022964
0.021485263904897578,0.31622776601683794,4.0,0.7763097795668815
0.016633166044620055,0.31622776601683794,10.0,0.8268265823733452
0.039407238175436586,0.31622776601683794,21.0,0.5897181513272256
0.02897602473388986,0.31622776601683794,46.0,0.6983209799660959
0.12338400894857056,0.31622776601683794,100.0,-0.28459190828632175
0.08187699682994509,0.31622776601683794,215.0,0.1475513845041846
0.07452414240489946,0.31622776601683794,464.0,0.22410439471767152
,0.31622776601683794,1000.0,
,0.46415888336127775,1.0,
0.03040814473799975,0.46415888336127775,2.0,0.6834107028187439
0.030268454844421172,0.46415888336127775,4.0,0.6848650607091186
,0.46415888336127775,10.0,
0.04183139285427336,0.46415888336127775,21.0,0.5644794716036143
,0.46415888336127775,46.0,
0.019855644734787178,0.46415888336127775,100.0,0.7932762861454177
0.046456306027148744,0.46415888336127775,215.0,0.5163279640538886
,0.46415888336127775,464.0,
,0.46415888336127775,1000.0,
,0.6812920690579608,1.0,
0.051765392728189405,0.6812920690579608,2.0,0.46105329860360234
0.029820794672619454,0.6812920690579608,4.0,0.6895257994811765
,0.6812920690579608,10.0,
0.029577598128072445,0.6812920690579608,21.0,0.6920577995021719
,0.6812920690579608,46.0,
,0.6812920690579608,100.0,
0.03808025817390657,0.6812920690579608,215.0,0.6035337809776915
,0.6812920690579608,464.0,
,0.6812920690579608,1000.0,
,1.0,1.0,
,1.0,2.0,
,1.0,4.0,
,1.0,10.0,
,1.0,21.0,
,1.0,46.0,
0.030568844831827213,1.0,100.0,0.6817376007534863
,1.0,215.0,
,1.0,464.0,
,1.0,1000.0,
