accuracy,learning_rate_init,minibatch_size
0.8114083983649201,0.02,1522.0
0.808992939427722,0.02,1562.0
0.8136380527684876,0.02,1602.0
0.8071348940914158,0.02,1641.0
0.8078781122259383,0.02,1681.0
0.8091787439613527,0.02,1721.0
0.8082497212931996,0.02,1761.0
0.8093645484949833,0.02,1801.0
0.8091787439613527,0.02,1840.0
0.8136380527684876,0.02,1880.0
0.8080639167595689,0.02,1920.0
0.8078781122259383,0.02,1960.0
0.8127090301003345,0.02,2000.0
0.7770345596432553,0.03,50.0
0.8056484578223708,0.03,89.0
0.8056484578223708,0.03,129.0
0.8073206986250464,0.03,169.0
0.8037904124860646,0.03,209.0
0.8088071348940914,0.03,248.0
0.8047194351542177,0.03,288.0
0.8121516164994426,0.03,328.0
0.8075065031586771,0.03,368.0
0.8060200668896321,0.03,408.0
0.8067632850241546,0.03,447.0
0.8101077666295058,0.03,487.0
0.8078781122259383,0.03,527.0
0.8088071348940914,0.03,567.0
0.8084355258268302,0.03,607.0
0.8106651802303976,0.03,646.0
0.8088071348940914,0.03,686.0
0.8091787439613527,0.03,726.0
0.8101077666295058,0.03,766.0
0.8054626532887402,0.03,806.0
0.8084355258268302,0.03,845.0
0.8080639167595689,0.03,885.0
0.808992939427722,0.03,925.0
0.8071348940914158,0.03,965.0
0.808992939427722,0.03,1005.0
0.8138238573021181,0.03,1044.0
0.8095503530286139,0.03,1084.0
0.8121516164994426,0.03,1124.0
0.8086213303604608,0.03,1164.0
0.8080639167595689,0.03,1204.0
0.8091787439613527,0.03,1243.0
0.8082497212931996,0.03,1283.0
0.813452248234857,0.03,1323.0
0.8127090301003345,0.03,1363.0
0.8130806391675957,0.03,1403.0
0.8075065031586771,0.03,1442.0
0.808992939427722,0.03,1482.0
0.8093645484949833,0.03,1522.0
0.8063916759568933,0.03,1562.0
0.8084355258268302,0.03,1602.0
0.8132664437012264,0.03,1641.0
0.8088071348940914,0.03,1681.0
0.8091787439613527,0.03,1721.0
0.8097361575622445,0.03,1761.0
0.8088071348940914,0.03,1801.0
0.806577480490524,0.03,1840.0
0.8095503530286139,0.03,1880.0
0.8084355258268302,0.03,1920.0
0.8080639167595689,0.03,1960.0
0.8095503530286139,0.03,2000.0
0.8037904124860646,0.04,50.0
0.8023039762170197,0.04,89.0
0.8052768487551096,0.04,129.0
0.8075065031586771,0.04,169.0
0.8102935711631364,0.04,209.0
0.8002601263470829,0.04,248.0
0.8060200668896321,0.04,288.0
0.8067632850241546,0.04,328.0
0.8114083983649201,0.04,368.0
0.8075065031586771,0.04,408.0
0.8084355258268302,0.04,447.0
0.8058342623560015,0.04,487.0
0.8117800074321814,0.04,527.0
0.8088071348940914,0.04,567.0
0.8097361575622445,0.04,607.0
0.8076923076923077,0.04,646.0
0.8088071348940914,0.04,686.0
0.8088071348940914,0.04,726.0
0.8091787439613527,0.04,766.0
0.8078781122259383,0.04,806.0
0.8102935711631364,0.04,845.0
0.8049052396878483,0.04,885.0
0.8067632850241546,0.04,925.0
0.8084355258268302,0.04,965.0
0.8076923076923077,0.04,1005.0
0.8073206986250464,0.04,1044.0
0.8082497212931996,0.04,1084.0
0.8054626532887402,0.04,1124.0
0.8069490895577852,0.04,1164.0
0.8101077666295058,0.04,1204.0
0.8102935711631364,0.04,1243.0
0.8071348940914158,0.04,1283.0
0.8097361575622445,0.04,1323.0
0.8095503530286139,0.04,1363.0
0.8093645484949833,0.04,1403.0
0.8069490895577852,0.04,1442.0
0.8086213303604608,0.04,1482.0
0.8097361575622445,0.04,1522.0
0.8075065031586771,0.04,1562.0
0.8071348940914158,0.04,1602.0
0.8067632850241546,0.04,1641.0
0.8099219620958752,0.04,1681.0
0.810479375696767,0.04,1721.0
0.8076923076923077,0.04,1761.0
0.8078781122259383,0.04,1801.0
0.8141954663693795,0.04,1840.0
0.8088071348940914,0.04,1880.0
0.811965811965812,0.04,1920.0
0.7991452991452992,0.04,1960.0
0.8093645484949833,0.04,2000.0
0.8127090301003345,0.05,50.0
0.7991452991452992,0.05,89.0
0.8030471943515421,0.05,129.0
0.8101077666295058,0.05,169.0
0.804162021553326,0.05,209.0
0.808992939427722,0.05,248.0
0.8045336306205871,0.05,288.0
0.802675585284281,0.05,328.0
0.8073206986250464,0.05,368.0
0.8075065031586771,0.05,408.0
0.8080639167595689,0.05,447.0
0.8076923076923077,0.05,487.0
0.8073206986250464,0.05,527.0
0.806577480490524,0.05,567.0
0.8082497212931996,0.05,607.0
0.8091787439613527,0.05,646.0
0.8082497212931996,0.05,686.0
0.8125232255667039,0.05,726.0
0.813452248234857,0.05,766.0
0.8088071348940914,0.05,806.0
0.8093645484949833,0.05,845.0
0.8088071348940914,0.05,885.0
0.81438127090301,0.05,925.0
0.8117800074321814,0.05,965.0
0.8093645484949833,0.05,1005.0
0.8091787439613527,0.05,1044.0
0.8086213303604608,0.05,1084.0
0.811965811965812,0.05,1124.0
0.8052768487551096,0.05,1164.0
0.8075065031586771,0.05,1204.0
0.8099219620958752,0.05,1243.0
0.8086213303604608,0.05,1283.0
0.8088071348940914,0.05,1323.0
0.8078781122259383,0.05,1363.0
