t1,accuracy,mse,r2,bias,variance
76.0,0.7905138339920948,0.16421662452264524,0.30800909025213974,0.23869751416405416,0.05795946822751556
77.0,0.7891963109354414,0.16354932867987101,0.31082100200988405,0.23869940729509492,0.05838068092411085
78.0,0.7918313570487484,0.16282504358166083,0.3138730602621115,0.23869368870595833,0.05886696863104821
79.0,0.7891963109354414,0.16374838758047153,0.30998218955639234,0.2386240330964983,0.05946343165084806
80.0,0.7918313570487484,0.16266407843826303,0.31455134978572896,0.23863901737430382,0.05950862997776325
81.0,0.7865612648221344,0.1666687878450604,0.29767594198983083,0.23856731850560553,0.05892455842861241
82.0,0.7878787878787878,0.1644961665309675,0.30683113077809765,0.23860696384837798,0.05918649365317273
83.0,0.7905138339920948,0.16384754915656735,0.3095643335113417,0.2385791923575182,0.059186314088280546
84.0,0.7918313570487484,0.1645898416009422,0.3064363942702628,0.2387093037574679,0.05843496045230243
85.0,0.7905138339920948,0.16454383972306197,0.30663024115645343,0.23867052745717884,0.05881224997576958
86.0,0.7878787878787878,0.16493484487069143,0.30498258819433266,0.23867028309755328,0.05824209616169394
87.0,0.7905138339920948,0.16411077659553838,0.3084551218496502,0.23861014915758608,0.059334442855304356
88.0,0.7878787878787878,0.1654949502603233,0.30262236529209796,0.23867024111086177,0.058720968307414925
89.0,0.7905138339920948,0.16325794374460567,0.31204886628384043,0.23863756986531598,0.0589734934721384
90.0,0.7905138339920948,0.1631370338614831,0.312558367317994,0.23858891509316058,0.05976762952493495
91.0,0.7865612648221344,0.16435474703000102,0.30742705710050466,0.23867661963972597,0.05868606806673885
92.0,0.7931488801054019,0.1633598372794182,0.3116194980633129,0.23869371202855647,0.05981136421649472
93.0,0.7891963109354414,0.1673933099147236,0.29462288516579715,0.2385483265182664,0.0611592775621387
94.0,0.7905138339920948,0.16320536494184384,0.31227042761273993,0.2386106499713041,0.059153972449158584
95.0,0.7918313570487484,0.1638465913770102,0.3095683694897272,0.2385851148159478,0.05958508068664343
96.0,0.7905138339920948,0.1638567058796854,0.30952574808079125,0.23867745276772515,0.05788368000838267
97.0,0.7905138339920948,0.16510910750649846,0.3042482644908848,0.23859607550623727,0.060046024234623525
98.0,0.7905138339920948,0.16523466763261244,0.30371916784095543,0.23863759113270513,0.05927343034167588
99.0,0.7918313570487484,0.1645735531167088,0.30650503216277736,0.23858958152079754,0.059200840046329375
100.0,0.7865612648221344,0.16411641368095664,0.30843136778773195,0.2386327191402819,0.06006570693550217
